dad;pai
daily;diaria
damage;danos
Dan;Dan
dance;danca
dancing;danca
danger;perigo
dangerous;perigosas
Daniel;Daniel
Danny;Danny
dark;escuro
darkness;trevas
date;data
daughter;filha
David;David
dawn;madrugada
day;dia
Day;Dia
days;dia
dead;mortos
deal;ofertas
dear;querido
death;morte
decide;decidir
decided;decidiu
deck;conves
declared;declarou
deep;profundidade
deeper;mais
deeply;profundamente
deer;veado
definite;definitivo
definition;definicao
degree;grau
degrees;graus
depend;dependem
depends;depende
depth;profundidade
describe;descrever
described;descrito
desert;deserto
design;design
designed;concebidos
desk;balcao, escrivaninha
destroyed;destruido
details;detalhes
determine;determinar
determined;determinado
develop;desenvolver
developed;desenvolvido
developing;desenvolvimento
development;desenvolvimento
diagram;diagrama
diameter;diametro
Dick;Dick
dictionary;dicionario
did;fez
didn't;nao
die;morrer
died;morreu
differ;diferem
difference;diferenca
differences;diferencas
different;diferente
difficult;dificil
difficulty;dificuldade
dig;cavar
dinner;jantar
direct;directo
direction;direcao
directions;direcoes
directly;diretamente
dirt;sujeira
dirty;suja
disappeared;desaparecido
discover;descobrir
discovered;descoberto
discovery;descoberta
discuss;discutir
discussion;discussao
disease;doenca
dish;prato
dishes;pratos
distance;distancia
distances;distancias
distant;distante
divide;dividir
divided;divididos
division;divisao
do;fazer
doctor;medico
doctors;medicos
does;faz
doesn't;nao e
dog;cao
dogs;caes
doing;fazer
doll;boneca
dollar;dolar
dollars;dolares
Don;Don
done;feito
donkey;burro
don't;nao
door;porta
doors;portas
dot;ponto
dots;pontos
double;dupla
doubt;duvida
down;baixo
dozen;duzia
Dr.;Dr.
draw;desenhar
drawing;desenho
drawings;desenhos
drawn;desenhada
dream;sonho
dreams;sonhos
dress;vestido
dressed;vestido
drew;extraiu
dried;secas
drink;bebida
drinking;potavel
drive;unidade
driven;orientado
driver;driver
driving;conducao
drop;queda
dropped;caiu
drops;gotas
drove;levou
dry;seca
duck;pato
ducks;patos
due;devido
dug;escavado
dull;aborrecido
during;durante o
dust;poeira
Dutch;Holandes
duty;direito
