sad;triste
saddle;sela
safe;seguro
safely;seguranca
safety;seguranca
said;disse
sail;vela
sailed;navegaram
sailing;vela
sailors;marinheiros
sale;venda
Sally;Ataque
salmon;salmao
salt;sal
Sam;Sam
same;mesmo
sand;areia
sang;cantou
sat;sab.
satellites;satelites
satisfied;satisfeitos
Saturday;Sabado
save;salvar
saved;salvo
saw;viu
say;dizer
saying;dizendo
says;diz
scale;escala
scales;escalas
scar;cicatriz
scared;medo
scattered;disperso
scene;cena
school;escola
School;Escola
schools;escolas
science;ciencia
scientific;cientifica
scientist;cientista
scientists;cientistas
score;pontuacao
screen;tela
sea;mar
sea;mar
search;pesquisa
seas;mares
season;temporada
seats;assentos
second;segunda
seconds;segundo
secret;segredo
section;secao
sections;secoes
see;veja
seed;sementes
seeds;sementes
seeing;vendo
seem;parecem
seemed;parecia
seems;parece
seen;visita
sees;ve
seldom;raramente
select;selecione
selection;seleccao
sell;vender
send;enviar
sense;sentido
sent;enviado
sentence;sentenca
sentences;frases
separate;separar
separated;separados
September;Setembro
series;serie
serious;graves
serve;servir
served;servido
service;servico
services;servicos
set;conjunto
sets;conjuntos
setting;definicao
settle;resolver
settled;estabelecido
settlers;colonos
seven;sete
several;varios
shade;sombra
shadow;sombra
shake;agitar
shaking;agitacao
shall;deve
shallow;raso
shape;forma
shaped;em forma
shapes;formas
share;compartilhar
sharp;afiado
she;ela
shed;verter
sheep;ovinos
sheet;folha
sheets;folhas
shelf;prateleira
shell;shell
shells;conchas
shelter;abrigo
she's;ela e
shine;brilhar
shining;brilhante
ship;navio
ships;navios
shirt;camisa
shoe;sapato
shoes;sapatos
shook;sacudiu
shoot;disparar
shooting;tiro
shop;loja
shore;costa, margem
short;curto
shorter;menor
shot;tiro
should;deve
shoulder;ombro
shoulders;ombros
shout;mensagem
shouted;gritou
show;mostra, exibe
show;show
showed;mostrou
showing;mostrando
shown;mostrado
shut;fechar
sick;doentes
side;lado
sides;lados
sight;vista
sign;Inscreva-se
signal;sinal
signals;sinais
signs;sinais
silence;silencio
silent;silenciosa
silk;seda
silly;bobo
silver;prata
similar;semelhantes
simple;simples
simplest;simples
simply;simplesmente
since;desde
sing;cantar
singing;cantando
single;unico, solteiro
sink;pia
sir;senhor
Sir;Sir
sister;irma
sisters;irmas
sit;sentar-se
sitting;reuniao, sessao
situation;situacao
six;seis
size;tamanho
sizes;tamanhos
skill;habilidade
skills;habilidades
skin;pele
skins;peles
sky;ceu
slabs;lajes
slave;escravo
sleep;sono
sleeping;dormir
slept;dormia
slide;slide
slight;ligeira
slightly;ligeiramente
slip;escorregar
slipped;escorregou
slope;inclinacao
slow;lento
slowly;lentamente
small;pequeno
smaller;menores
smaller;menores
smell;cheiro
smile;sorriso
smiled;sorriu
Smith;Smith
smoke;fumaca, fumar
smooth;lisa
snake;serpente
snakes;serpentes
snow;neve
so;assim
soap;sabao
social;social
society;sociedade
soft;moles
softly;suavemente
soil;solo
solar;solar
sold;vendidos
soldier;soldado
soldiers;soldados
solid;solidos
solution;solucao
solve;resolver
some;alguns
somebody;alguem
somehow;de alguma forma
someone;alguem
something;algo
sometimes;as vezes
somewhat;um pouco
somewhere;em algum lugar
son;filho
song;musica
songs;musicas
soon;em breve
sorry;desculpe
sort;classificar
sound;som
sounded;soava
sounds;sons
source;fonte
sources;fontes
South;Do Sul
south;sul
southern;sul
Southern;Sul
space;espaco
spaces;espacos
Spain;Espanha
spanish;espanhol
speak;falar
speaking;falando
special;especial
species;especies
specific;especificas
speech;discurso
speed;velocidade
spell;soletrar, escrever
spelled;espelta
spelling;ortografia
spend;gastar
spent;gasto
spider;aranha
spin;rotacao
spirit;espirito
spite;Apesar
split;divisao
spoke;falou, raio
spoken;falado
sports;esportes
spot;local
spots;pontos
spread;propagacao
spring;primavera
square;praca
squares;pracas
St.;Sao
stage;estagio
stairs;escadas
stand;suporte, descanso
standard;padrao
standing;permanente, de pe
stands;stands
star;estrelas
Star;Star
stared;olhou
stars;estrelas
start;inicio
started;iniciado
starting;a partir
starts;comeca
state;estado
State;Estado
stated;afirmou
statement;declaracao
statements;demonstracoes
states;estados
station;estacao
stay;estadia
stayed;ficou
steady;constante
steam;vapor
steel;aco
steep;ingreme
stems;caules
step;etapa
stepped;intensificada
steps;etapas
stick;vara
sticks;varas
stiff;duro
still;ainda
stock;stock
stomach;estomago
stone;pedra
stones;pedras
stood;ficou
stop;parar
stopped;parado
stops;para
store;loja
stored;armazenadas
stores;lojas
stories;historias
