babies;bebes
baby;bebe
back;volta
bad;ruim
badly;mal
bag;saco
bags;sacos
balance;equilibrio
ball;bola
balloon;balao
balls;bolas
band;banda
bank;banco
banks;bancos
bar;bar
bare;nu
bark;casca
barn;celeiro
bars;bares
base;base
baseball;beisebol
based;base
basic;basicos
basis;base
basket;cesta
bat;morcego
battle;batalha
Bay;Bay
be;ser
beans;feijao
bear;urso
bears;ursos
beat;bater
beautiful;bela
beauty;beleza
became;tornou-se
because;porque
become;se
becomes;torna-se
becoming;tornando-se
bed;cama
been;foi
bees;abelhas
before;antes
began;comecou
begin;comecar
beginning;inicio
begins;comeca
begun;comecou
behavior;comportamento
behind;atras
being;sendo
believe;acreditar
believed;Acredita
bell;sino
bells;sinos
belong;pertencem
belonged;pertenciam
belongs;pertence
below;abaixo
belt;cinto
Ben;Ben
bend;dobrar
beneath;abaixo
bent;dobrado
beside;ao lado
besides;alem
best;melhor
bet;aposta
Betsy;Betsy
better;melhor
between;entre
beyond;alem
bicycle;bicicleta
Big;Big
big;grande
bigger;maior
biggest;maior
Bill;Bill
bill;Bill
Billy;Billy
bird;ave
birds;aves
birth;nascimento
birthday;aniversario
bit;bit
bite;mordida
bits;bits
Black;Black
black;preto
blank;em branco
blanket;cobertor
blew;soprou
blind;cegos
block;bloco
blocks;blocos
blood;sangue
blow;golpe, sopro
blowing;sopro
blue;azul
board;bordo
boat;barco
boats;barcos
Bob;Bob
bodies;orgaos
body;corpo
bone;ossea
bones;ossos
book;livro
books;livros
boots;botas
border;fronteira
born;nascido
Boston;Boston
both;ambos
bottle;garrafa
bottom;fundo, inferior
bought;comprei
bound;obrigado
bow;arco
bowl;taca
box;caixa
boxes;caixas
boy;menino
boy;menino
boy's;menino
boys;meninos
brain;cerebro
branch;ramo
branches;ramos
brass;bronze
brave;valente
bread;pao
break;quebrar
breakfast;pequeno-almoco
breaking;quebrar
breath;respiracao
breathe;respirar
breathing;respiracao
breeze;brisa
brick;tijolo
bridge;ponte
brief;breve
bright;brilhante
bring;trazer
bringing;trazendo
brings;traz
british;britanico
broad;ampla
broke;quebrou
broken;quebrado
brother;irmao
brothers;irmaos
brought;interposto
Brown;Brown
brown;marrom
brush;escova
buffalo;bufalo
build;construir
building;construcao
buildings;edificios
built;construida
buried;enterrada
burn;queimar
burned;queimado
burning;queima
burst;explosao
bus;onibus
bushes;arbustos
business;negocios
busy;ocupado
but;mas
butter;manteiga
buy;comprar
by;por
