habit;habito
habits;habitos
had;tinha
hadn't;nao tinha
hair;cabelo
half;semestre
halfway;metade
hall;salao
hand;mao
handed;entregue
handle;punho
hands;maos
handsome;bonito
hang;pendurar
hanging;suspensao
happen;acontecer
happened;aconteceu
happening;acontecendo
happens;acontece
happily;alegremente
happy;feliz
harbor;porto
hard;rigido
harder;mais
hardly;dificilmente
Harry;Harry
has;tem
hat;chapeu
hats;chapeus
have;ter
haven't;nao
having;Tendo
hay;feno
he;ele
head;cabeca
headed;chefiado
heading;posicao
heads;cabecas
health;saude
hear;ouvir
heard;ouvido
hearing;audiencia
heart;coracao
heat;calor, esquentar
heated;aquecido
heavy;pesado
he'd;ele tinha
height;altura
held;realizada
he'll;ele vai
hello;Ola
help;ajuda
helped;ajudou
helpful;util
helping;ajudar
helps;ajuda
Henry;Henry
her;sua
herd;rebanho
here;aqui
herself;ele mesmo
he's;ele e
hidden;oculto
hide;ocultar
high;alta
higher;maior
highest;mais
highly;altamente
highway;rodovia
hill;colina
Hill;Hill
hills;morros
him;ele
himself;ele mesmo
his;sua
history;historia
hit;sucesso, atingir
hold;mantenha
holding;exploracao
holds;detem
hole;buraco
holes;buracos
hollow;oco
home;casa
homes;casas
honor;honra
hope;esperanca
hoped;esperado
horn;chifre
horns;chifres
horse;cavalo
horses;cavalos
hospital;hospital
hot;quente
hour;hora
hours;horas
house;casa
House;Casa
houses;casas
how;como
however;no entanto
huge;enorme
human;humanos
hundred;cem
hundreds;centenas
hung;pendurado
hungry;com fome
hunt;caca
hunter;cacador
hunters;cacadores
hunting;caca
hurried;apressado
hurry;pressa
hurt;machucar
husband;marido
