effect;efeito
effects;efeitos
effort;esforco
egg;ovo
eggs;ovos
Egypt;Egito
eight;oito
either;qualquer, tambem
electric;eletrica
electricity;electricidade
element;elemento
elements;elementos
elephant;elefante
elephants;elefantes
eleven;onze
Ellen;Ellen
else;senao, outro
empty;vazio
end;final
ended;terminou
ending;final, ultimo
ends;fins, extremidades
enemies;inimigos
enemy;inimigo
energy;energia
engine;motor
engineer;engenheiro
engines;motores
England;Inglaterra
english;ingles
enjoy;desfrutar, apreciar, curtir
enjoyed;apreciado
enormous;enorme
enough;suficiente
enter;entrar
entered;inscrita
entire;todo
entirely;inteiramente
environment;ambiente
equal;igualdade
equally;igualmente
equator;equador
equipment;equipamentos
escape;escapar
especially;especialmente
essential;essenciais
established;estabelecida
etc.;etc
Europe;Europa
European;Europeias
even;mesmo
evening;a noite
event;evento
events;eventos
eventually;eventualmente
ever;sempre
every;cada
everybody;todos
everyone;todos
everything;tudo
everywhere;em todos os lugares
evidence;provas
exact;exata
exactly;exatamente
examine;examinar
example;exemplo
examples;exemplos
excellent;excelente
except;exceto
exchange;troca
excited;animado
excitement;excitacao
exciting;emocionante
exclaimed;exclamou
exercise;exercicio
exercises;exercicios
exist;existem
expect;esperar
expected;esperado
experience;experiencia
experiences;experiencias
experiment;experimento
experiments;experimentos
explain;explicar
explained;explicou
explanation;explicacao
explore;explorar
express;manifestar
expressed;expressos
expression;expressao
extra;extra
eye;olho
eye;olho
eyes;olhos
