gain;ganho
gained;ganhou
game;jogo
games;jogos
garage;garagem
garden;jardim
gas;gas
gasoline;gasolina
gate;portao
gather;recolher
gathered;recolhidas
gave;deu
general;geral
General;Geral
generally;geralmente
gentle;suave
gently;suavemente
George;George
German;Alemao
Germany;Alemanha
get;obter
gets;fica
getting;ficando
giant;gigante
gift;dom
girl;menina
girls;meninas
give;dar
give;dar, fornecer
given;dado, inclinado para
giving;dando
glad;feliz, alegre
glass;vidro
glasses;oculos
globe;globo
go;ir
goal;meta
gods;deuses
goes;vai
going;vai
gold;ouro
golden;dourado
gone;ido
good;boa
goods;bens
goose;ganso
got;tem
government;governo
grabbed;agarrou
grade;grau
gradually;gradualmente
grain;graos
grains;graos
Grandfather;Avo
grandfather;avo
grandmother;avo
graph;grafico
grass;grama
gravity;gravidade
gray;cinzento
great;grande
great;grande
greater;maior
greatest;maior
greatly;grandemente
Greece;Grecia
greek;grego
Greeks;Gregos
green;verde
grew;cresceu
ground;solo
group;grupo
groups;grupos
grow;crescer
growing;crescente
grown;crescido, cultivado
grows;crescem, aumentam
growth;crescimento
guard;guarda
guess;acho
guests;convidados
guide;guia
Gulf;Golfo
gun;arma
guns;armas
