rabbit;coelho
rabbits;coelhos
race;corrida
raced;correu
racing;corrida
radio;radio
railroad;ferrovia
rain;chuva
raise;levantar
raised;levantadas
raising;aumento
ran;correu
ranch;fazenda
range;intervalo
rapidly;rapidamente
rare;raras
rather;vez
rays;raios
reach;chegar
reached;alcancado
reaches;atinge
reaching;atingindo
read;leia
reader;leitor
reading;leitura
ready;pronto
real;real
realize;perceber
realize;perceber
really;realmente
rear;traseiro
reason;razao
reasons;razoes
recall;recordar
receive;receber
received;recebeu
recent;recentes
recently;recentemente
recognize;reconhecer
recognized;reconhecido
record;registro
recorded;registrados
records;registros
red;vermelho
red;vermelho
refer;referem-se
refused;recusou-se
region;regiao
regions;regioes
regular;regular
related;relacionado
relationship;relacionamento
religious;religiosa
remain;permanecem
remained;manteve-se
remaining;remanescentes
remains;permanece
remarkable;notavel
remember;lembre-se
remembered;lembrado
remove;remover
removed;removidas
repeat;repetir
repeated;repetidos
replace;substituir
replaced;substituido
replied;respondeu
report;relatorio
reported;relataram
reports;relatorios
represent;representam
represented;representada
represents;representa
require;requerem
required;necessaria
requires;exige
research;pesquisa
resources;recursos
respect;respeito
rest;descanso
result;resultado
results;resultados
return;retorno
returned;devolvido
review;revisao
rhyme;rima
rhythm;ritmo
rice;arroz
rich;ricos
Richard;Richard
ride;passeio
riding;andar
right;direito
rights;direitos
ring;anel
rings;aneis
rise;aumento
rises;sobe
rising;aumento
river;rio
river;rio
rivers;rios
road;estrada
roads;estradas
roar;rugido
Robert;Robert
rock;rocha, balancar
rocket;foguete
rocks;rochas
rocky;rochoso
rod;vara
rode;montei
roll;roll
rolled;laminado
rolling;circulante
Roman;Roman
Rome;Roma
roof;telhado
room;sala
rooms;quartos
root;raiz, origem
roots;raizes
rope;corda
rose;rosa
rough;aspero
round;volta, rodada
rounded;arredondado
route;rota
row;linha
rows;linhas
rubbed;esfregou
rubber;borracha
rule;regra, norma
ruler;regua
rules;regras
run;executar
running;execucao
runs;corre, funciona
rush;apressar
rushed;apressado
Russia;Russia
Russian;Russo
