table;tabela
tables;tabelas
tail;cauda
take;ter
take;ter, tomar, levar
taken;tomar
taking;atraente, agradavel
tales;contos
talk;conversa
talked;falou
talking;falando
tall;altura
tank;tanque
tape;fita
task;tarefa
taste;gosto
taught;ensinou
tax;fiscal
tea;cha
teach;ensinar
teacher;professor
teachers;professores
team;equipe
teams;equipes
tear;lagrima
teeth;dentes
telephone;telefone
television;televisao
tell;dizer
telling;dizendo
tells;diz, fala
temperature;temperatura
temperatures;temperaturas
ten;dez
tent;barraca
term;prazo
term;prazo
terrible;terrivel
test;teste
tests;testes
Texas;Texas
than;que
thank;obrigado
thanks;obrigado
that;que
that's;que e
The;A, o
the;o
thee;ti
their;sua
them;eles
themselves;eles mesmos
then;entao, depois
theory;teoria
there;la, ali
therefore;portanto
there's;ha
these;esses
they;eles
they're;eles estao
thick;espessura
thin;fino
thing;coisa
things;coisas
think;pensar
thinking;pensamento
thinks;pensa
third;terceiro
thirty;trinta
this;isto
Thomas;Thomas
those;aqueles
thou;tu
though;embora
thought;pensamento
thoughts;pensamentos
thousand;mil
thousands;milhares
thread;discussao
three;tres
threw;jogou
throat;garganta
through;atraves
throughout;todo, completamente
throw;jogar
thrown;Descartado
thumb;polegar
thus;assim
thy;teu
tide;mare
tie;gravata
tied;amarrado
tight;apertado
tightly;hermeticamente
till;ate
Tim;Tim
time;tempo
times;vezes
tin;estanho
tiny;minusculo
tip;ponta
tired;cansado
title;titulo
to;para
tobacco;tabaco
today;hoje
today's;hoje
toes;dedos
together;juntos
told;disse
Tom;Tom
Tommy;Tommy
tomorrow;amanha
tone;tom
tongue;lingua
tonight;hoje a noite
tons;toneladas
too;tambem
took;levou
tools;ferramentas
top;topo
topic;topico
tops;tops
torn;rasgado
tossed;atiradas
total;total
touch;tocar, atingir
touched;tocadas
tough;resistente
toward;direcao
tower;torre
town;cidade
towns;cidades
toy;brinquedo
trace;traco
track;faixa
tracks;faixas
trade;comercio
traffic;trafego
trail;trilha
train;trem
trained;treinados
training;formacao
trains;trens
transportation;transporte
trap;armadilha
travel;viagem
traveled;viajou
traveling;viajar
travels;viagens
treated;tratados
tree;arvore
trees;arvores
tremendous;tremendo
triangle;triangulo
tribe;tribo
tribes;tribos
trick;truque
tricks;truques
tried;tentei
trip;viagem
trips;Viagens
troops;tropas
tropical;tropical
trouble;problema
truck;caminhao
trucks;caminhoes
true;verdade
trunk;tronco
truth;verdade
try;tente
trying;tentando
tube;tubo
tubes;tubos
tune;sintonia
turn;turno
turned;ligado
turning;giro
turns;transforma
TV;TV
twelve;doze
twenty;vinte
twice;duas vezes
two;dois
type;tipo
types;tipos
typical;tipica
